Exercise,Muscle,Equipment,Difficulty,Male,Female
Bodyweight Alternating Lateral Lunge,"Glutes, Quads",Bodyweight,Intermediate,https://musclewiki.com/bodyweight/male/glutes/bodyweight-alternating-lateral-lunge,https://musclewiki.com/bodyweight/female/glutes/bodyweight-alternating-lateral-lunge
Bodyweight Alternating Reverse Lunges,"Glutes, Quads",Bodyweight,Intermediate,https://musclewiki.com/bodyweight/male/glutes/bodyweight-alternating-reverse-lunges,https://musclewiki.com/bodyweight/female/glutes/bodyweight-alternating-reverse-lunges
Bodyweight Hip Abduction,"Glutes, Gluteus Medius",Bodyweight,Novice,https://musclewiki.com/bodyweight/male/glutes/bodyweight-hip-abduction,https://musclewiki.com/bodyweight/female/glutes/bodyweight-hip-abduction
Bodyweight Step Up Knee Drive,"Glutes, Quads",Bodyweight,Intermediate,https://musclewiki.com/bodyweight/male/glutes/step-up-knee-drive,https://musclewiki.com/bodyweight/female/glutes/step-up-knee-drive
Hamstring Bridge With Elevated Legs Box Unilateral,"Glutes, Hamstrings",Bodyweight,Beginner,https://musclewiki.com/bodyweight/male/glutes/hamstring-bridge-with-elevated-legs-box-unilateral,https://musclewiki.com/bodyweight/female/glutes/hamstring-bridge-with-elevated-legs-box-unilateral
Hamstring Bridge With Elevated Legs Box Bilateral,"Glutes, Hamstrings",Bodyweight,Beginner,https://musclewiki.com/bodyweight/male/glutes/hamstring-bridge-with-elevated-legs-box-bilateral,https://musclewiki.com/bodyweight/female/glutes/hamstring-bridge-with-elevated-legs-box-bilateral
Hamstring Bridge Isometric Open Angle,"Glutes, Hamstrings",Bodyweight,Beginner,https://musclewiki.com/bodyweight/male/glutes/hamstring-bridge-isometric-open-angle,https://musclewiki.com/bodyweight/female/glutes/hamstring-bridge-isometric-open-angle
Glute Bridge Isometric Hold Single Alternate,Glutes,Bodyweight,Novice,https://musclewiki.com/bodyweight/male/glutes/glute-bridge-isometric-hold-single-alternate,https://musclewiki.com/bodyweight/female/glutes/glute-bridge-isometric-hold-single-alternate
Glute Bridge Eccentric Unilateral,Glutes,Bodyweight,Novice,https://musclewiki.com/bodyweight/male/glutes/glute-bridge-eccentric-unilateral,https://musclewiki.com/bodyweight/female/glutes/glute-bridge-eccentric-unilateral
Bodyweight Alternating Forward Lunge,"Glutes, Quads",Bodyweight,Advanced,https://musclewiki.com/bodyweight/male/glutes/lunge-alternate,https://musclewiki.com/bodyweight/female/glutes/lunge-alternate
Walking Lunge,"Glutes, Quads",Bodyweight,Intermediate,https://musclewiki.com/bodyweight/male/glutes/lunge-walking,https://musclewiki.com/bodyweight/female/glutes/lunge-walking
Bodyweight Box Squat,"Glutes, Quads",Bodyweight,Novice,https://musclewiki.com/bodyweight/male/glutes/bodyweight-box-squat,https://musclewiki.com/bodyweight/female/glutes/bodyweight-box-squat
Bodyweight Kickstand Squat,"Glutes, Quads",Bodyweight,Beginner,https://musclewiki.com/bodyweight/male/glutes/bodyweight-kickstand-squat,https://musclewiki.com/bodyweight/female/glutes/bodyweight-kickstand-squat
Bodyweight Ninety Ninety Hip Stretch,Glutes,Bodyweight,Novice,https://musclewiki.com/bodyweight/male/glutes/bodyweight-ninety-ninety-hip-stretch,https://musclewiki.com/bodyweight/female/glutes/bodyweight-ninety-ninety-hip-stretch
Bodyweight Single Leg Squat,"Glutes, Quads",Bodyweight,Advanced,https://musclewiki.com/bodyweight/male/glutes/bodyweight-single-leg-squat,https://musclewiki.com/bodyweight/female/glutes/bodyweight-single-leg-squat
Machine Leg Press,"Glutes, Quads",Machine,Novice,https://musclewiki.com/machine/male/glutes/machine-leg-press,https://musclewiki.com/machine/female/glutes/machine-leg-press
Machine Hip Thrust,Glutes,Machine,Novice,https://musclewiki.com/machine/male/glutes/machine-hip-thrust,https://musclewiki.com/machine/female/glutes/machine-hip-thrust
Machine Hack Squat,"Glutes, Quads",Machine,Novice,https://musclewiki.com/machine/male/glutes/machine-hack-squat,https://musclewiki.com/machine/female/glutes/machine-hack-squat
Machine Horizontal Sissy Leg Press,"Glutes, Quads",Machine,Intermediate,https://musclewiki.com/machine/male/glutes/machine-horizontal-sissy-leg-press,https://musclewiki.com/machine/female/glutes/machine-horizontal-sissy-leg-press
Machine Horizontal Leg Press,"Glutes, Quads",Machine,Novice,https://musclewiki.com/machine/male/glutes/machine-horizontal-leg-press,https://musclewiki.com/machine/female/glutes/machine-horizontal-leg-press
Machine Hip Abduction,"Glutes, Gluteus Medius",Machine,Novice,https://musclewiki.com/machine/male/glutes/machine-hip-abduction,https://musclewiki.com/machine/female/glutes/machine-hip-abduction
Machine Hip And Glute Abduction,"Glutes, Gluteus Medius",Machine,Novice,https://musclewiki.com/machine/male/glutes/machine-hip-and-glute-abduction,https://musclewiki.com/machine/female/glutes/machine-hip-and-glute-abduction
Machine Hip And Glute Kickback,Glutes,Machine,Novice,https://musclewiki.com/machine/male/glutes/machine-hip-and-glute-kickback,https://musclewiki.com/machine/female/glutes/machine-hip-and-glute-kickback
Medicine Ball Clean And Press Slam,"Glutes, Gluteus Maximus, Shoulders, Anterior Deltoid, Quads, Inner Quadriceps, Front Shoulders",Medicine-Ball,Intermediate,https://musclewiki.com/medicine-ball/male/glutes/clean-and-press-slam,https://musclewiki.com/medicine-ball/female/glutes/clean-and-press-slam
Medicine Ball Ball Headlock Squat,"Glutes, Gluteus Maximus, Quads, Inner Quadriceps",Medicine-Ball,Beginner,https://musclewiki.com/medicine-ball/male/glutes/ball-headlock-squat,https://musclewiki.com/medicine-ball/female/glutes/ball-headlock-squat
Medicine Ball Ball Offset Squat,"Glutes, Quads",Medicine-Ball,Novice,https://musclewiki.com/medicine-ball/male/glutes/ball-offset-squat,https://musclewiki.com/medicine-ball/female/glutes/ball-offset-squat
Medicine Ball Overhead Reverse Lunge,"Glutes, Gluteus Maximus, Shoulders, Lateral Deltoid, Anterior Deltoid, Quads, Front Shoulders",Medicine-Ball,Intermediate,https://musclewiki.com/medicine-ball/male/glutes/overhead-reverse-lunge,https://musclewiki.com/medicine-ball/female/glutes/overhead-reverse-lunge
Medicine Ball Overhead Squat,"Glutes, Quads",Medicine-Ball,Intermediate,https://musclewiki.com/medicine-ball/male/glutes/overhead-squat,https://musclewiki.com/medicine-ball/female/glutes/overhead-squat
Medicine Ball Reverse Lunge,"Glutes, Quads",Medicine-Ball,Beginner,https://musclewiki.com/medicine-ball/male/glutes/reverse-lunge,https://musclewiki.com/medicine-ball/female/glutes/reverse-lunge
Medicine Ball Reverse Lunge Twist,"Glutes, Quads, Obliques",Medicine-Ball,Intermediate,https://musclewiki.com/medicine-ball/male/glutes/reverse-lunge-twist,https://musclewiki.com/medicine-ball/female/glutes/reverse-lunge-twist
Medicine Ball Self Toss,"Glutes, Gluteus Maximus, Shoulders, Lateral Deltoid, Anterior Deltoid, Quads, Inner Quadriceps, Front Shoulders",Medicine-Ball,Beginner,https://musclewiki.com/medicine-ball/male/glutes/self-toss,https://musclewiki.com/medicine-ball/female/glutes/self-toss
Medicine Ball Squat Reach,"Glutes, Shoulders, Lateral Deltoid, Anterior Deltoid, Quads, Front Shoulders",Medicine-Ball,Beginner,https://musclewiki.com/medicine-ball/male/glutes/squat-reach,https://musclewiki.com/medicine-ball/female/glutes/squat-reach
Medicine Ball Wall Ball,"Glutes, Shoulders, Lateral Deltoid, Anterior Deltoid, Quads, Front Shoulders",Medicine-Ball,Beginner,https://musclewiki.com/medicine-ball/male/glutes/wall-ball,https://musclewiki.com/medicine-ball/female/glutes/wall-ball
Kettlebell Glute Bridge,Glutes,Kettlebells,Novice,https://musclewiki.com/kettlebells/male/glutes/kettlebell-glute-bridge,https://musclewiki.com/kettlebells/female/glutes/kettlebell-glute-bridge
Kettlebell Single Leg Glute Bridge,Glutes,Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebell-single-leg-glute-bridge,https://musclewiki.com/kettlebells/female/glutes/kettlebell-single-leg-glute-bridge
Kettlebell Hip Thrust,Glutes,Kettlebells,Novice,https://musclewiki.com/kettlebells/male/glutes/kettlebell-hip-thrust,https://musclewiki.com/kettlebells/female/glutes/kettlebell-hip-thrust
Kettlebell Single Leg Hip Thrust,Glutes,Kettlebells,Advanced,https://musclewiki.com/kettlebells/male/glutes/kettlebell-single-leg-hip-thrust,https://musclewiki.com/kettlebells/female/glutes/kettlebell-single-leg-hip-thrust
Kettlebell Step Up,"Glutes, Quads",Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/glutes/kettlebell-step-up,https://musclewiki.com/kettlebells/female/glutes/kettlebell-step-up
Kettlebell Goblet Squat,"Glutes, Quads",Kettlebells,Novice,https://musclewiki.com/kettlebells/male/glutes/kettlebell-goblet-squat,https://musclewiki.com/kettlebells/female/glutes/kettlebell-goblet-squat
Kettlebell Heels Up Goblet Squat,"Glutes, Quads",Kettlebells,Novice,https://musclewiki.com/kettlebells/male/glutes/kettlebell-heels-up-goblet-squat,https://musclewiki.com/kettlebells/female/glutes/kettlebell-heels-up-goblet-squat
Kettlebell Single Arm Reverse Lunge,"Glutes, Quads",Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/glutes/kettlebell-single-arm-reverse-lunge,https://musclewiki.com/kettlebells/female/glutes/kettlebell-single-arm-reverse-lunge
Kettlebell Single Arm Forward Lunge,"Glutes, Quads",Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/glutes/kettlebell-single-arm-forward-lunge,https://musclewiki.com/kettlebells/female/glutes/kettlebell-single-arm-forward-lunge
Kettlebell Lateral Lunge (Single),"Glutes, Gluteus Medius, Quads",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebell-lateral-lunge-single,https://musclewiki.com/kettlebells/female/glutes/kettlebell-lateral-lunge-single
Kettlebell Clean And Press,"Glutes, Shoulders, Lateral Deltoid, Anterior Deltoid, Front Shoulders",Kettlebells,Advanced,https://musclewiki.com/kettlebells/male/glutes/kettlebell-clean-and-press,https://musclewiki.com/kettlebells/female/glutes/kettlebell-clean-and-press
Kettlebell Snatch (Double),"Glutes, Shoulders, Anterior Deltoid, Front Shoulders",Kettlebells,Advanced,https://musclewiki.com/kettlebells/male/glutes/kettlebell-snatch-double,https://musclewiki.com/kettlebells/female/glutes/kettlebell-snatch-double
Kettlebell Figure Four Hip Thrust,Glutes,Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebell-figure-four-hip-thrust,https://musclewiki.com/kettlebells/female/glutes/kettlebell-figure-four-hip-thrust
Kettlebell Forward Lunge (Double),"Glutes, Quads",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebell-forward-lunge-double,https://musclewiki.com/kettlebells/female/glutes/kettlebell-forward-lunge-double
Kettlebell Lateral Lunge,"Glutes, Gluteus Medius, Quads, Inner Quadriceps",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebell-lateral-lunge,https://musclewiki.com/kettlebells/female/glutes/kettlebell-lateral-lunge
Kettlebell Reverse Lunge,"Glutes, Quads",Kettlebells,Novice,https://musclewiki.com/kettlebells/male/glutes/kettlebell-reverse-lunge,https://musclewiki.com/kettlebells/female/glutes/kettlebell-reverse-lunge
Kettlebell Single Arm Clean And Press,"Glutes, Shoulders, Lateral Deltoid, Anterior Deltoid, Triceps, Front Shoulders",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebell-single-arm-clean-and-press,https://musclewiki.com/kettlebells/female/glutes/kettlebell-single-arm-clean-and-press
Kettlebell Single Arm Curtsy Lunge,"Glutes, Gluteus Medius, Gluteus Maximus, Quads, Inner Quadriceps",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/Kettlebell-single-arm-curtsy-lunge,https://musclewiki.com/kettlebells/female/glutes/Kettlebell-single-arm-curtsy-lunge
Kettlebell Single Arm Front Rack Reverse Lunge,"Glutes, Quads",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebells-single-arm-front-rack-reverse-lunge,https://musclewiki.com/kettlebells/female/glutes/kettlebells-single-arm-front-rack-reverse-lunge
Kettlebell Single Arm Snatch,"Glutes, Shoulders, Anterior Deltoid, Front Shoulders",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebells-single-arm-snatch,https://musclewiki.com/kettlebells/female/glutes/kettlebells-single-arm-snatch
Kettlebell Step Up Double,"Glutes, Quads",Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/glutes/kettlebell-step-up-double,https://musclewiki.com/kettlebells/female/glutes/kettlebell-step-up-double
Kettlebell Single Arm Step Up Balance,"Glutes, Quads",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebell-single-arm-step-up-balance,https://musclewiki.com/kettlebells/female/glutes/kettlebell-single-arm-step-up-balance
Kettlebell Kickstand Squat,"Glutes, Quads",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebell-kickstand-squat,https://musclewiki.com/kettlebells/female/glutes/kettlebell-kickstand-squat
Kettlebell Swing Lunge,"Glutes, Quads",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebell-swing-lunge,https://musclewiki.com/kettlebells/female/glutes/kettlebell-swing-lunge
Kettlebell Alternating Curtsy Lunge,"Glutes, Gluteus Medius, Gluteus Maximus, Quads, Inner Thigh, Inner Quadriceps",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebell-alternating-curtsy-lunge,https://musclewiki.com/kettlebells/female/glutes/kettlebell-alternating-curtsy-lunge
Kettlebell Alternating Lateral Lunge,"Glutes, Quads",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebell-alternating-lateral-lunge,https://musclewiki.com/kettlebells/female/glutes/kettlebell-alternating-lateral-lunge
Kettlebell Alternating Reverse Lunge,"Glutes, Quads",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebell-alternating-reverse-lunge,https://musclewiki.com/kettlebells/female/glutes/kettlebell-alternating-reverse-lunge
Kettlebell Alternating Forward Lunge,"Glutes, Quads",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/glutes/kettlebell-alternating-forward-lunge,https://musclewiki.com/kettlebells/female/glutes/kettlebell-alternating-forward-lunge
Kettlebell Assisted Bulgarian Split Squat,"Glutes, Quads",Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/glutes/kettlebell-assisted-bulgarian-split-squat,https://musclewiki.com/kettlebells/female/glutes/kettlebell-assisted-bulgarian-split-squat
Glutes Stretch Variation Three,Glutes,Stretches,Novice,https://musclewiki.com/stretches/male/glutes/glutes-stretch-variation-three,https://musclewiki.com/stretches/female/glutes/glutes-stretch-variation-three
Glutes Stretch Variation Two,Glutes,Stretches,Novice,https://musclewiki.com/stretches/male/glutes/glutes-stretch-variation-two,https://musclewiki.com/stretches/female/glutes/glutes-stretch-variation-two
Glutes Stretch Variation One,Glutes,Stretches,Novice,https://musclewiki.com/stretches/male/glutes/glutes-stretch-variation-one,https://musclewiki.com/stretches/female/glutes/glutes-stretch-variation-one
Cable Split Squat,"Glutes, Quads",Cables,Advanced,https://musclewiki.com/cables/male/glutes/cable-split-squat,https://musclewiki.com/cables/female/glutes/cable-split-squat
Cable Standing Hip Abduction,"Glutes, Gluteus Medius",Cables,Beginner,https://musclewiki.com/cables/male/glutes/cable-standing-hip-abduction,https://musclewiki.com/cables/female/glutes/cable-standing-hip-abduction
Cable Quadruped Hip Abduction,"Glutes, Gluteus Medius",Cables,Beginner,https://musclewiki.com/cables/male/glutes/cable-quadruped-hip-abduction,https://musclewiki.com/cables/female/glutes/cable-quadruped-hip-abduction
Cable Standing Hip Adduction,"Glutes, Inner Thigh, Groin",Cables,Beginner,https://musclewiki.com/cables/male/glutes/cable-standing-hip-adduction,https://musclewiki.com/cables/female/glutes/cable-standing-hip-adduction
Cable Standing Glute Kickback,"Glutes, Gluteus Maximus",Cables,Beginner,https://musclewiki.com/cables/male/glutes/cable-standing-glute-kickback,https://musclewiki.com/cables/female/glutes/cable-standing-glute-kickback
Band Spanish Squat,"Glutes, Quads",Band,Advanced,https://musclewiki.com/band/male/glutes/band-spanish-squat,https://musclewiki.com/band/female/glutes/band-spanish-squat
Band Glute Kickback,Glutes,Band,Beginner,https://musclewiki.com/band/male/glutes/band-glute-kickback,https://musclewiki.com/band/female/glutes/band-glute-kickback
Band Leg Press,"Glutes, Quads",Band,Advanced,https://musclewiki.com/band/male/glutes/band-leg-press,https://musclewiki.com/band/female/glutes/band-leg-press
Band Squat,"Glutes, Quads",Band,Novice,https://musclewiki.com/band/male/glutes/band-squat,https://musclewiki.com/band/female/glutes/band-squat
Band Hip Abduction,"Glutes, Gluteus Medius",Band,Beginner,https://musclewiki.com/band/male/glutes/band-hip-abduction,https://musclewiki.com/band/female/glutes/band-hip-abduction
Band Hip Adduction,"Glutes, Inner Thigh, Groin",Band,Intermediate,https://musclewiki.com/band/male/glutes/band-hip-adduction,https://musclewiki.com/band/female/glutes/band-hip-adduction
Banded Side Walks,"Glutes, Gluteus Medius",Band,Beginner,https://musclewiki.com/band/male/glutes/side-walks-resisted,https://musclewiki.com/band/female/glutes/side-walks-resisted
Plate Squat,"Glutes, Quads",Plate,Novice,https://musclewiki.com/plate/male/glutes/plate-squat,https://musclewiki.com/plate/female/glutes/plate-squat
Plate Clean And Press,"Glutes, Shoulders, Lateral Deltoid, Anterior Deltoid, Front Shoulders",Plate,Intermediate,https://musclewiki.com/plate/male/glutes/plate-clean-and-press,https://musclewiki.com/plate/female/glutes/plate-clean-and-press
Plate Squat Reach,"Glutes, Shoulders, Anterior Deltoid, Quads, Front Shoulders",Plate,Beginner,https://musclewiki.com/plate/male/glutes/plate-squat-reach,https://musclewiki.com/plate/female/glutes/plate-squat-reach
Plate Clean,Glutes,Plate,Intermediate,https://musclewiki.com/plate/male/glutes/plate-clean,https://musclewiki.com/plate/female/glutes/plate-clean
Plate Squat Hold Reach,"Glutes, Shoulders, Anterior Deltoid, Triceps, Quads, Front Shoulders",Plate,Intermediate,https://musclewiki.com/plate/male/glutes/plate-squat-hold-reach,https://musclewiki.com/plate/female/glutes/plate-squat-hold-reach
Plate Curtsy Lunge,"Glutes, Gluteus Medius, Gluteus Maximus, Quads, Inner Thigh, Inner Quadriceps",Plate,Intermediate,https://musclewiki.com/plate/male/glutes/plate-curtsy-lunge,https://musclewiki.com/plate/female/glutes/plate-curtsy-lunge
Plate Lateral Lunge,"Glutes, Quads",Plate,Novice,https://musclewiki.com/plate/male/glutes/plate-lateral-lunge,https://musclewiki.com/plate/female/glutes/plate-lateral-lunge
Plate Forward Lunge,"Glutes, Quads",Plate,Novice,https://musclewiki.com/plate/male/glutes/plate-forward-lunge,https://musclewiki.com/plate/female/glutes/plate-forward-lunge
Plate Reverse Lunge Twist,"Glutes, Quads, Obliques",Plate,Intermediate,https://musclewiki.com/plate/male/glutes/plate-reverse-lunge-twist,https://musclewiki.com/plate/female/glutes/plate-reverse-lunge-twist
Plate Reverse Lunge,"Glutes, Quads",Plate,Novice,https://musclewiki.com/plate/male/glutes/plate-reverse-lunge,https://musclewiki.com/plate/female/glutes/plate-reverse-lunge
Plate Overhead Squat,"Glutes, Quads",Plate,Intermediate,https://musclewiki.com/plate/male/glutes/plate-overhead-squat,https://musclewiki.com/plate/female/glutes/plate-overhead-squat
Plate Deficit Lunge,"Glutes, Quads",Plate,Advanced,https://musclewiki.com/plate/male/glutes/plate-deficit-lunge,https://musclewiki.com/plate/female/glutes/plate-deficit-lunge
Plate Glute Bridge to Chest Press,"Glutes, Chest",Plate,Beginner,https://musclewiki.com/plate/male/glutes/plate-glute-bridge-to-chest-press,https://musclewiki.com/plate/female/glutes/plate-glute-bridge-to-chest-press
Plate Glute Bridge to Pullover,"Glutes, Lats",Plate,Beginner,https://musclewiki.com/plate/male/glutes/plate-glute-bridge-to-pullover,https://musclewiki.com/plate/female/glutes/plate-glute-bridge-to-pullover
Plate Overhead Walking Lunge,"Glutes, Quads",Plate,Intermediate,https://musclewiki.com/plate/male/glutes/plate-overhead-walking-lunge,https://musclewiki.com/plate/female/glutes/plate-overhead-walking-lunge
Plate Squat Hold,"Glutes, Quads",Plate,Novice,https://musclewiki.com/plate/male/glutes/plate-squat-hold,https://musclewiki.com/plate/female/glutes/plate-squat-hold
Plate Thruster,"Glutes, Shoulders, Lateral Deltoid, Anterior Deltoid, Quads, Front Shoulders",Plate,Intermediate,https://musclewiki.com/plate/male/glutes/plate-thruster,https://musclewiki.com/plate/female/glutes/plate-thruster
TRX Curtsy Lunge,"Glutes, Quads",TRX,Beginner,https://musclewiki.com/trx/male/glutes/trx-curtsy-lunge,https://musclewiki.com/trx/female/glutes/trx-curtsy-lunge
TRX Glute Bridge,Glutes,TRX,Beginner,https://musclewiki.com/trx/male/glutes/trx-glute-bridge,https://musclewiki.com/trx/female/glutes/trx-glute-bridge
TRX Jumping Squat,"Glutes, Quads",TRX,Intermediate,https://musclewiki.com/trx/male/glutes/trx-jumping-squat,https://musclewiki.com/trx/female/glutes/trx-jumping-squat
TRX Lateral Lunge,"Glutes, Quads",TRX,Novice,https://musclewiki.com/trx/male/glutes/trx-lateral-lunge,https://musclewiki.com/trx/female/glutes/trx-lateral-lunge
TRX Reverse Lunge,"Glutes, Quads",TRX,Novice,https://musclewiki.com/trx/male/glutes/trx-reverse-lunge,https://musclewiki.com/trx/female/glutes/trx-reverse-lunge
TRX Split Squat,"Glutes, Quads",TRX,Novice,https://musclewiki.com/trx/male/glutes/trx-split-squat,https://musclewiki.com/trx/female/glutes/trx-split-squat
TRX Squat,"Glutes, Quads",TRX,Novice,https://musclewiki.com/trx/male/glutes/trx-squat,https://musclewiki.com/trx/female/glutes/trx-squat
Double Pigeon Pose,Glutes,Yoga,Beginner,https://musclewiki.com/yoga/male/glutes/double-pigeon-pose,https://musclewiki.com/yoga/female/glutes/double-pigeon-pose
Half Lotus,Glutes,Yoga,Beginner,https://musclewiki.com/yoga/male/glutes/half-lotus,https://musclewiki.com/yoga/female/glutes/half-lotus
Pigeon Pose,Glutes,Yoga,Beginner,https://musclewiki.com/yoga/male/glutes/pigeon-pose,https://musclewiki.com/yoga/female/glutes/pigeon-pose
Reclining Pigeon Pose,Glutes,Yoga,Beginner,https://musclewiki.com/yoga/male/glutes/reclining-pigeon-pose,https://musclewiki.com/yoga/female/glutes/reclining-pigeon-pose
Restful Cow Face Pose Legs,Glutes,Yoga,Intermediate,https://musclewiki.com/yoga/male/glutes/restful-cow-face-pose-legs,https://musclewiki.com/yoga/female/glutes/restful-cow-face-pose-legs
Bosu Ball Burpee,"Glutes, Quads, Chest",Bosu-Ball,Intermediate,https://musclewiki.com/bosu-ball/male/glutes/bosu-ball-burpee,https://musclewiki.com/bosu-ball/female/glutes/bosu-ball-burpee
Bosu Ball Feet Elevated Glute Bridge,Glutes,Bosu-Ball,Beginner,https://musclewiki.com/bosu-ball/male/glutes/feet-elevated-glute-bridge,https://musclewiki.com/bosu-ball/female/glutes/feet-elevated-glute-bridge
Bosu Ball Half Burpee,"Glutes, Quads, Chest",Bosu-Ball,Beginner,https://musclewiki.com/bosu-ball/male/glutes/half-burpee,https://musclewiki.com/bosu-ball/female/glutes/half-burpee
Bosu Ball Hip Thrust,Glutes,Bosu-Ball,Beginner,https://musclewiki.com/bosu-ball/male/glutes/bosu-ball-hip-thrust,https://musclewiki.com/bosu-ball/female/glutes/bosu-ball-hip-thrust
Bosu Ball Lateral Lunge,"Glutes, Gluteus Medius, Quads",Bosu-Ball,Intermediate,https://musclewiki.com/bosu-ball/male/glutes/bosu-ball-lateral-lunge,https://musclewiki.com/bosu-ball/female/glutes/bosu-ball-lateral-lunge
Bosu Ball Reverse Lunge,"Glutes, Quads",Bosu-Ball,Intermediate,https://musclewiki.com/bosu-ball/male/glutes/reverse-lunge,https://musclewiki.com/bosu-ball/female/glutes/reverse-lunge
Bosu Ball Single Leg Elevated Glute Bridge,Glutes,Bosu-Ball,Intermediate,https://musclewiki.com/bosu-ball/male/glutes/single-leg-elevated-glute-bridge,https://musclewiki.com/bosu-ball/female/glutes/single-leg-elevated-glute-bridge
Bosu Ball Split Squat,"Glutes, Quads",Bosu-Ball,Intermediate,https://musclewiki.com/bosu-ball/male/glutes/split-squat,https://musclewiki.com/bosu-ball/female/glutes/split-squat
Bosu Ball Squat,"Glutes, Quads",Bosu-Ball,Novice,https://musclewiki.com/bosu-ball/male/glutes/squat,https://musclewiki.com/bosu-ball/female/glutes/squat
Vitruvian Belt Squat,"Glutes, Quads",Vitruvian,Intermediate,https://musclewiki.com/vitruvian/male/glutes/belt-squat,https://musclewiki.com/vitruvian/female/glutes/belt-squat
Vitruvian Deficit Lunge,"Glutes, Quads",Vitruvian,Intermediate,https://musclewiki.com/vitruvian/male/glutes/deficit-lunge,https://musclewiki.com/vitruvian/female/glutes/deficit-lunge
Vitruvian Figure Four Hip Thrust,Glutes,Vitruvian,Advanced,https://musclewiki.com/vitruvian/male/glutes/figure-four-hip-thrust,https://musclewiki.com/vitruvian/female/glutes/figure-four-hip-thrust
Vitruvian Front Squat,"Glutes, Quads",Vitruvian,Intermediate,https://musclewiki.com/vitruvian/male/glutes/front-squat,https://musclewiki.com/vitruvian/female/glutes/front-squat
Vitruvian Hip Thrust,Glutes,Vitruvian,Beginner,https://musclewiki.com/vitruvian/male/glutes/vitruvian-hip-thrust,https://musclewiki.com/vitruvian/female/glutes/vitruvian-hip-thrust
Cardio Assault Bike,"Glutes, Shoulders, Anterior Deltoid, Quads, Chest, Front Shoulders",Cardio,Novice,https://musclewiki.com/cardio/male/glutes/cardio-assault-bike,https://musclewiki.com/cardio/female/glutes/cardio-assault-bike
Cardio Karaoke,"Glutes, Quads",Cardio,Intermediate,https://musclewiki.com/cardio/male/glutes/cardio-karaoke,https://musclewiki.com/cardio/female/glutes/cardio-karaoke
Cardio Row Erg Rower Legs Only,"Glutes, Quads",Cardio,Beginner,https://musclewiki.com/cardio/male/glutes/cardio-row-erg-rower-legs-only,https://musclewiki.com/cardio/female/glutes/cardio-row-erg-rower-legs-only
Cardio Skater,Glutes,Cardio,Beginner,https://musclewiki.com/cardio/male/glutes/cardio-skater,https://musclewiki.com/cardio/female/glutes/cardio-skater
Cardio Step Out Jacks,"Glutes, Front Shoulders",Cardio,Beginner,https://musclewiki.com/cardio/male/glutes/cardio-step-out-jacks,https://musclewiki.com/cardio/female/glutes/cardio-step-out-jacks
Treadmill Side Shuffle,"Glutes, Gluteus Medius",Cardio,Beginner,https://musclewiki.com/cardio/male/glutes/treadmill-side-shuffle,https://musclewiki.com/cardio/female/glutes/treadmill-side-shuffle
Stationary Bike,"Glutes, Quads",Cardio,Novice,https://musclewiki.com/cardio/male/glutes/stationary-bike,https://musclewiki.com/cardio/female/glutes/stationary-bike
Smith Machine Glute Kickback,Glutes,Smith-Machine,Intermediate,https://musclewiki.com/smith-machine/male/glutes/smith-machine-glute-kickback,https://musclewiki.com/smith-machine/female/glutes/smith-machine-glute-kickback
Smith Machine Leg Press,"Glutes, Quads",Smith-Machine,Intermediate,https://musclewiki.com/smith-machine/male/glutes/smith-machine-leg-press,https://musclewiki.com/smith-machine/female/glutes/smith-machine-leg-press
Smith Machine Single Leg Hip Thrust,Glutes,Smith-Machine,Intermediate,https://musclewiki.com/smith-machine/male/glutes/smith-machine-single-leg-hip-thrust,https://musclewiki.com/smith-machine/female/glutes/smith-machine-single-leg-hip-thrust
Smith Machine Hip Thrust,"Glutes, Gluteus Maximus",Smith-Machine,Novice,https://musclewiki.com/smith-machine/male/glutes/smith-machine-hip-thrust,https://musclewiki.com/smith-machine/female/glutes/smith-machine-hip-thrust
